t,speed,mph,steer,throttle,longG,latG,yaw,expectYaw,understeer,oversteer,jolt,angVelX,angVelZ,vy,fireRaw,fxActive,fxFired,center,corner,oversteer,brake,texture,scrub,judder,impact,weapon,force
0.038,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.570,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.603,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
0.621,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
0.638,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
0.655,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.676,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
0.693,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
0.710,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
0.727,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
0.751,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.769,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
0.785,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
0.803,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
0.826,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.843,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.860,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
0.878,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
0.909,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
0.926,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
0.943,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
0.966,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
