t,offset,oldInt,newInt,oldFloat,newFloat
4.129,8,0,1,0,1.401298E-45
4.14,216,-1063516339,-1166536601,-4.875891,-0.0009462893
4.14,220,1062529442,1062866550,0.83169,0.8517832
4.141,224,-1024385051,-1024386863,-120.5623,-120.5485
4.142,228,1057150840,1057142208,0.5111003,0.5105858
4.143,232,1057150840,1057142208,0.5111003,0.5105858
4.145,236,1057150840,1057142208,0.5111003,0.5105858
4.146,240,-1123736333,-1227641236,-0.03250594,-6.308595E-06
4.146,244,990579588,990799740,0.002121658,0.002172916
4.147,248,-1096976360,-1096977543,-0.3075569,-0.3075216
4.151,260,1100856528,1100844972,19.71719,19.69515
4.154,352,1027604480,1023614976,0.046875,0.03201294
4.174,12,1598,1596,2.239275E-42,2.236472E-42
4.175,216,-1166536601,-1170931414,-0.0009462893,-0.0006904776
4.175,220,1062866550,1063265532,0.8517832,0.8755643
4.176,224,-1024386863,-1024387117,-120.5485,-120.5465
4.177,228,1057142208,1057129260,0.5105858,0.509814
4.178,232,1057142208,1057129260,0.5105858,0.509814
4.179,236,1057142208,1057129260,0.5105858,0.509814
4.179,240,-1227641236,-1231391476,-6.308595E-06,-4.603184E-06
4.18,244,990799740,991060300,0.002172916,0.002233583
4.181,248,-1096977543,-1096977709,-0.3075216,-0.3075167
4.182,260,1100844972,1100828352,19.69515,19.66345
4.183,352,1023614976,1027366912,0.03201294,0.04598999
4.205,12,1596,1595,2.236472E-42,2.235071E-42
4.207,216,-1170931414,-1076538912,-0.0006904776,-1.666561
4.208,220,1063265532,1063837104,0.8755643,0.9096327
4.208,224,-1024387117,-1024387501,-120.5465,-120.5436
4.209,228,1057129260,1057107027,0.509814,0.5084888
4.21,232,1057129260,1057107027,0.509814,0.5084888
4.21,236,1057129260,1057107027,0.509814,0.5084888
4.211,240,-1231391476,-1137309587,-4.603184E-06,-0.01111041
4.212,244,991060300,991433571,0.002233583,0.002320491
4.213,248,-1096977709,-1096977960,-0.3075167,-0.3075092
4.213,260,1100828352,1100811340,19.66345,19.631
4.214,352,1027366912,1027637248,0.04598999,0.04699707
4.267,12,1595,1594,2.235071E-42,2.23367E-42
4.268,216,-1076538912,-1072100813,-1.666561,-2.391248
4.269,220,1063837104,1064355384,0.9096327,0.9405246
4.27,224,-1024387501,-1024388605,-120.5436,-120.5352
4.27,228,1057107027,1057081108,0.5084888,0.5069439
4.271,232,1057107027,1057081108,0.5084888,0.5069439
4.272,236,1057107027,1057081108,0.5084888,0.5069439
4.273,240,-1137309587,-1132292080,-0.01111041,-0.01594165
4.273,244,991433571,991772040,0.002320491,0.002399297
4.274,248,-1096977960,-1096978681,-0.3075092,-0.3074877
4.275,260,1100811340,1100794327,19.631,19.59855
4.299,12,1594,1593,2.23367E-42,2.232268E-42
4.3,216,-1072100813,-1070190363,-2.391248,-2.846734
4.301,220,1064355384,1063834151,0.9405246,0.9094567
4.302,224,-1024388605,-1024389745,-120.5352,-120.5265
4.302,228,1057081108,1057052750,0.5069439,0.5052537
4.303,232,1057081108,1057052750,0.5069439,0.5052537
4.304,236,1057081108,1057052750,0.5069439,0.5052537
4.305,240,-1132292080,-1130661829,-0.01594165,-0.01897823
4.306,244,991772040,991431643,0.002399297,0.002320043
4.307,248,-1096978681,-1096979425,-0.3074877,-0.3074655
4.308,260,1100794327,1100777229,19.59855,19.56594
4.361,12,1593,1591,2.232268E-42,2.229466E-42
4.363,216,-1070190363,-1071632320,-2.846734,-2.502945
4.363,220,1063834151,1058107239,0.9094567,0.5681061
4.365,224,-1024389745,-1024392113,-120.5265,-120.5084
4.366,228,1057052750,1057011836,0.5052537,0.502815
4.368,232,1057052750,1057011836,0.5052537,0.502815
4.369,236,1057052750,1057011836,0.5052537,0.502815
4.369,240,-1130661829,-1131892299,-0.01897823,-0.0166863
4.371,244,991431643,985527493,0.002320043,0.00144925
4.372,248,-1096979425,-1096980972,-0.3074655,-0.3074194
4.372,260,1100777229,1100754459,19.56594,19.52251
4.373,352,1027637248,1031868416,0.04699707,0.0630188
4.423,12,1591,1590,2.229466E-42,2.228065E-42
4.424,216,-1071632320,-1079476048,-2.502945,-1.316427
4.425,220,1058107239,1053633525,0.5681061,0.400726
4.426,224,-1024392113,-1024393038,-120.5084,-120.5014
4.426,228,1057011836,1056987146,0.502815,0.5013434
4.427,232,1057011836,1056987146,0.502815,0.5013434
4.428,236,1057011836,1056987146,0.502815,0.5013434
4.429,240,-1131892299,-1139815943,-0.0166863,-0.008776181
4.43,244,985527493,981859676,0.00144925,0.00102226
4.431,248,-1096980972,-1096981576,-0.3074194,-0.3074014
4.432,260,1100754459,1100737929,19.52251,19.49098
4.433,352,1031868416,1027366912,0.0630188,0.04598999
4.456,12,1590,1589,2.228065E-42,2.226663E-42
4.457,216,-1079476048,-1081156533,-1.316427,-1.116098
4.458,220,1053633525,1045322723,0.400726,0.2015224
4.459,224,-1024393038,-1024394107,-120.5014,-120.4932
4.46,228,1056987146,1056962064,0.5013434,0.4999242
4.46,232,1056987146,1056962064,0.5013434,0.4999242
4.461,236,1056987146,1056962064,0.5013434,0.4999242
4.462,240,-1139815943,-1141649225,-0.008776181,-0.007440652
4.463,244,981859676,973521880,0.00102226,0.0005140877
4.463,248,-1096981576,-1096982274,-0.3074014,-0.3073806
4.464,260,1100737929,1100721164,19.49098,19.45901
4.466,352,1027366912,1027637248,0.04598999,0.04699707
4.517,12,1589,1587,2.226663E-42,2.223861E-42
4.518,216,-1081156533,-1073082336,-1.116098,-2.157234
4.519,220,1045322723,-1137121543,0.2015224,-0.01128554
4.52,224,-1024394107,-1024395240,-120.4932,-120.4846
4.521,228,1056962064,1056902088,0.4999242,0.4981368
4.521,232,1056962064,1056902088,0.4999242,0.4981368
4.522,236,1056962064,1056902088,0.4999242,0.4981368
4.523,240,-1141649225,-1133797212,-0.007440652,-0.01438156
4.524,244,973521880,-1208909499,0.0005140877,-2.878963E-05
4.524,248,-1096982274,-1096983014,-0.3073806,-0.3073586
4.525,260,1100721164,1100704431,19.45901,19.42709
4.549,12,1587,1586,2.223861E-42,2.222459E-42
4.55,216,-1073082336,-1069291009,-2.157234,-3.061157
4.55,220,-1137121543,-1100405457,-0.01128554,-0.2276809
4.551,224,-1024395240,-1024396859,-120.4846,-120.4722
4.552,228,1056902088,1056832128,0.4981368,0.4960518
4.552,232,1056902088,1056832128,0.4981368,0.4960518
4.553,236,1056902088,1056832128,0.4981368,0.4960518
4.554,240,-1133797212,-1129894380,-0.01438156,-0.02040771
4.555,244,-1208909499,-1172815340,-2.878963E-05,-0.0005808186
4.556,248,-1096983014,-1096984071,-0.3073586,-0.3073271
4.557,260,1100704431,1100687733,19.42709,19.39524
4.611,12,1586,1585,2.222459E-42,2.221058E-42
4.612,216,-1069291009,-1073172152,-3.061157,-2.13582
4.613,220,-1100405457,-1092284916,-0.2276809,-0.4473728
4.614,224,-1024396859,-1024399883,-120.4722,-120.4491
4.614,228,1056832128,1056746004,0.4960518,0.4934851
4.615,232,1056832128,1056746004,0.4960518,0.4934851
4.616,236,1056832128,1056746004,0.4960518,0.4934851
4.617,240,-1129894380,-1133950498,-0.02040771,-0.0142388
4.618,244,-1172815340,-1164601796,-0.0005808186,-0.001141257
4.618,248,-1096984071,-1096986046,-0.3073271,-0.3072682
4.619,260,1100687733,1100665445,19.39524,19.35273
4.621,352,1027637248,1031868416,0.04699707,0.0630188
4.673,12,1585,1583,2.221058E-42,2.218255E-42
4.674,216,-1073172152,-1084282725,-2.13582,-0.8717133
4.675,220,-1092284916,-1093198867,-0.4473728,-0.4201349
4.676,224,-1024399883,-1024400600,-120.4491,-120.4437
4.676,228,1056746004,1056707776,0.4934851,0.4923458
4.677,232,1056746004,1056707776,0.4934851,0.4923458
4.678,236,1056746004,1056707776,0.4934851,0.4923458
4.679,240,-1133950498,-1145147970,-0.0142388,-0.005811422
4.679,244,-1164601796,-1165198662,-0.001141257,-0.001071773
4.68,248,-1096986046,-1096986514,-0.3072682,-0.3072543
4.681,260,1100665445,1100648976,19.35273,19.32132
4.682,352,1031868416,1027366912,0.0630188,0.04598999
4.706,12,1583,1582,2.218255E-42,2.216854E-42
4.707,216,-1084282725,-1084342932,-0.8717133,-0.8681247
4.707,220,-1093198867,-1095114273,-0.4201349,-0.3630514
4.708,224,-1024400600,-1024401243,-120.4437,-120.4388
4.709,228,1056707776,1056672559,0.4923458,0.4912963
4.709,232,1056707776,1056672559,0.4923458,0.4912963
4.71,236,1056707776,1056672559,0.4923458,0.4912963
4.711,240,-1145147970,-1145199346,-0.005811422,-0.005787498
4.712,244,-1165198662,-1166882566,-0.001071773,-0.0009261515
4.713,248,-1096986514,-1096986934,-0.3072543,-0.3072417
4.714,260,1100648976,1100632218,19.32132,19.28936
4.714,352,1027366912,1027637248,0.04598999,0.04699707
4.767,12,1582,1898,2.216854E-42,2.659664E-42
4.768,24,0,1,0,1.401298E-45
4.769,216,-1084342932,-1074922952,-0.8681247,-1.859199
4.77,220,-1095114273,-1097091084,-0.3630514,-0.3041378
4.771,224,-1024401243,-1024401815,-120.4388,-120.4344
4.771,228,1056672559,1056628533,0.4912963,0.4899842
4.772,232,1056672559,1056628533,0.4912963,0.4899842
4.773,236,1056672559,1056628533,0.4912963,0.4899842
4.773,240,-1145199346,-1135930634,-0.005787498,-0.01239466
4.774,244,-1166882566,-1169464524,-0.0009261515,-0.0007758618
4.775,248,-1096986934,-1096987308,-0.3072417,-0.3072306
4.776,260,1100632218,1100615455,19.28936,19.25738
4.798,12,1898,1896,2.659664E-42,2.656862E-42
4.799,24,1,0,1.401298E-45,0
4.8,216,-1074922952,-1071408410,-1.859199,-2.556329
4.801,220,-1097091084,-1098708612,-0.3041378,-0.2559317
4.802,224,-1024401815,-1024402898,-120.4344,-120.4261
4.802,228,1056628533,1056577445,0.4899842,0.4884616
4.803,232,1056628533,1056577445,0.4899842,0.4884616
4.804,236,1056628533,1056577445,0.4899842,0.4884616
4.805,240,-1135930634,-1131701229,-0.01239466,-0.0170422
4.805,244,-1169464524,-1171577213,-0.0007758618,-0.0006528871
4.806,248,-1096987308,-1096988015,-0.3072306,-0.3072095
4.807,260,1100615455,1100598728,19.25738,19.22548
4.862,12,1896,1893,2.656862E-42,2.652658E-42
4.863,216,-1071408410,-1073998690,-2.556329,-1.969379
4.863,220,-1098708612,-1101836077,-0.2559317,-0.206363
4.864,224,-1024402898,-1024404651,-120.4261,-120.4128
4.865,228,1056577445,1056517391,0.4884616,0.4866719
4.866,232,1056577445,1056517391,0.4884616,0.4866719
4.867,236,1056577445,1056517391,0.4884616,0.4866719
4.868,240,-1131701229,-1135141931,-0.0170422,-0.01312919
4.868,244,-1171577213,-1173749622,-0.0006528871,-0.0005264363
4.869,248,-1096988015,-1096989160,-0.3072095,-0.3071754
4.87,260,1100598728,1100576323,19.22548,19.18274
4.872,352,1027637248,1031868416,0.04699707,0.0630188
4.923,12,1893,1892,2.652658E-42,2.651257E-42
4.924,216,-1073998690,-1065901816,-1.969379,-3.869204
4.925,220,-1101836077,-1102319880,-0.206363,-0.1991538
4.925,224,-1024404651,-1024405613,-120.4128,-120.4054
4.926,228,1056517391,1056452094,0.4866719,0.4847259
4.927,232,1056517391,1056452094,0.4866719,0.4847259
4.928,236,1056517391,1056452094,0.4866719,0.4847259
4.929,240,-1135141931,-1127002269,-0.01312919,-0.02579469
4.93,244,-1173749622,-1174065575,-0.0005264363,-0.0005080454
4.93,248,-1096989160,-1096989788,-0.3071754,-0.3071567
4.931,260,1100576323,1100559981,19.18274,19.15158
4.933,352,1031868416,1027366912,0.0630188,0.04598999
4.954,12,1892,1890,2.651257E-42,2.648454E-42
4.956,216,-1065901816,-1064327273,-3.869204,-4.489208
4.956,220,-1102319880,-1102314356,-0.1991538,-0.1992361
4.957,224,-1024405613,-1024407426,-120.4054,-120.3916
4.958,228,1056452094,1056378337,0.4847259,0.4825278
4.959,232,1056452094,1056378337,0.4847259,0.4825278
4.959,236,1056452094,1056378337,0.4847259,0.4825278
4.96,240,-1127002269,-1124783188,-0.02579469,-0.02992805
4.961,244,-1174065575,-1174061968,-0.0005080454,-0.0005082553
4.962,248,-1096989788,-1096990972,-0.3071567,-0.3071214
4.963,260,1100559981,1100543205,19.15158,19.11958
4.963,352,1027366912,1027637248,0.04598999,0.04699707
5.017,12,1890,1888,2.648454E-42,2.645652E-42
5.018,216,-1064327273,-1068650186,-4.489208,-3.213941
5.019,220,-1102314356,-1102096968,-0.1992361,-0.2024754
5.019,224,-1024407426,-1024409205,-120.3916,-120.378
5.02,228,1056378337,1056317684,0.4825278,0.4807202
5.021,232,1056378337,1056317684,0.4825278,0.4807202
5.022,236,1056378337,1056317684,0.4825278,0.4807202
5.023,240,-1124783188,-1129347545,-0.02992805,-0.02142627
5.024,244,-1174061968,-1173920000,-0.0005082553,-0.000516519
5.024,248,-1096990972,-1096992134,-0.3071214,-0.3070868
5.025,260,1100543205,1100526436,19.11958,19.08759
5.081,12,1888,1886,2.645652E-42,2.642849E-42
5.082,216,-1068650186,-1090500266,-3.213941,-0.501119
5.082,220,-1102096968,-1101588671,-0.2024754,-0.2100496
5.083,224,-1024409205,-1024411076,-120.378,-120.3637
5.084,228,1056317684,1056274384,0.4807202,0.4794297
5.085,232,1056317684,1056274384,0.4807202,0.4794297
5.085,236,1056317684,1056274384,0.4807202,0.4794297
5.086,240,-1129347545,-1151667914,-0.02142627,-0.003340793
5.087,244,-1173920000,-1173588051,-0.000516519,-0.0005358409
5.088,248,-1096992134,-1096993356,-0.3070868,-0.3070503
5.088,260,1100526436,1100504136,19.08759,19.04506
5.089,352,1027637248,1031868416,0.04699707,0.0630188
5.111,12,1886,1884,2.642849E-42,2.640046E-42
5.112,216,-1090500266,-1091558945,-0.501119,-0.4690084
5.113,220,-1101588671,-1101391166,-0.2100496,-0.2129927
5.114,224,-1024411076,-1024411450,-120.3637,-120.3609
5.115,228,1056274384,1056242350,0.4794297,0.478475
5.116,232,1056274384,1056242350,0.4794297,0.478475
5.117,236,1056274384,1056242350,0.4794297,0.478475
5.117,240,-1151667914,-1152587340,-0.003340793,-0.003126723
5.118,244,-1173588051,-1173459068,-0.0005358409,-0.0005433487
5.119,248,-1096993356,-1096993600,-0.3070503,-0.3070431
5.12,260,1100504136,1100487413,19.04506,19.01316
5.121,352,1031868416,1027637248,0.0630188,0.04699707
5.174,12,1884,1883,2.640046E-42,2.638645E-42
5.175,216,-1091558945,-1072067282,-0.4690084,-2.399242
5.176,220,-1101391166,-1101318831,-0.2129927,-0.2140706
5.177,224,-1024411450,-1024412036,-120.3609,-120.3564
5.178,228,1056242350,1056191269,0.478475,0.4769527
5.179,232,1056242350,1056191269,0.478475,0.4769527
5.18,236,1056242350,1056191269,0.478475,0.4769527
5.181,240,-1152587340,-1132263467,-0.003126723,-0.01599495
5.181,244,-1173459068,-1173411829,-0.0005433487,-0.0005460984
5.182,248,-1096993600,-1096993983,-0.3070431,-0.3070317
5.183,260,1100487413,1100471057,19.01316,18.98197
5.185,352,1027637248,1027366912,0.04699707,0.04598999
5.236,12,1883,1880,2.638645E-42,2.634441E-42
5.237,216,-1072067282,-1065502995,-2.399242,-3.96429
5.237,220,-1101318831,-1101154243,-0.2140706,-0.2165231
5.238,224,-1024412036,-1024414551,-120.3564,-120.3372
